changyong,202210271100,202210271100,코딩하기,1,1,
changyong,202210251100,202210271100,코딩하기,1,1,
changyong,202210111100,20221021100,코딩하기,1,1,
changyong,202210181100,202210181100,코딩하기,-1,1,
changyong,202210301100,202210311100,코딩하기,0,1,
hyunwoo,202210261000,202210261000,낚시가기,-1,1,월척이다
hyunwoo,202210081000,202210261000,한의원가기,1,0,주사못맞음
hyunwoo,202210071000,202210071000,데이트,1,1,다음 데이트엔 청혼을...
hyunwoo,202210101000,202210281000,자바공부,1,1,
hyunwoo,202210281000,202210281000,축구,0,1,
mingyu,202210180900,202210180900,드라이브가즈아,1,1,
mingyu,202210100900,202210110900,캠핑,-1,1,
mingyu,202210180900,202210180900,현우랑저녁,1,0,내가 삼
mingyu,202210190900,202210190900,상훈 술,1,1,상훈이가 삼
sanghoon,202210010900,202210010900,전역,-1,1,
sanghoon,202210020900,202210310900,ICIA교육,1,1,
sanghoon,202210310900,202210310900,예비군,0,1,
sanghoon,202210310900,202210310900,예비군,0,0,
